Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Australia;2279,5;2386,6;2484,5;2560,6;2684;2694,1;2765,5;2837,1;2873,5;3003;2980,2;3082,8;3148,5;NA
Austria;2454,8;2503,2;2564,1;2615,5;2661,7;2689,9;2736,7;2829,9;2898,8;2898;2940,5;2962,7;3025;3008,5
Canada;2049,8;2149,9;2258,5;2308;2363,4;2413,5;2536,9;2585,7;2641,3;2831,8;2914,5;2892,1;2900,6;2907,2
Czech Republic;963,7;1025;1097,4;1199,5;1217,6;1278,4;1314,6;1334,3;1436,4;1575,1;1519,3;1565,8;1574,7;1556,9
Denmark;1903,7;1977,5;2050,7;2116,8;2183,7;2245,3;2360,2;2372,2;2403,2;2547,2;2511;2485,1;2465,9;2446,9
Estonia;555,4;542,2;571,9;635;703,3;748,6;824,7;911,7;980,7;968,5;921,6;928,4;991,1;1036,1
Finland;1511,5;1587,4;1696,7;1792,6;1880,3;1969;2018,6;2048,8;2119,3;2119,3;2179,4;2239;2269,8;2310,6
France;NA;2310,7;2389,2;2448,2;2516,5;2545,6;2566,4;2586,4;2594,5;2660,2;2684;2695,1;2704,1;2728,2
Germany;2384,2;2455,3;2504,7;2538;2504,1;2559,4;2620,8;2672,5;2763,2;2864,2;2954,3;2982;3063,2;3112,9
Hungary;NA;899,2;982,6;1132,2;1154;1246,4;1278,3;1177,6;1169,6;1128,8;1188,9;1224,7;1205,7;1192,8
Japan;1895,5;1910,9;1935;1994;2047;2114,6;2164,7;2229,5;2303,5;2401;2530,9;2659,2;2740,8;NA
Korea;930,7;852,3;879,8;962,3;1013,5;1118,1;1246,7;1324,9;1362,7;1434,1;1516,9;1566,4;1602;1670,2
Luxembourg;2119,8;2474,6;2627,6;2687,9;2877,8;2786,6;2678,6;2709,1;2711,9;2817,3;2741,4;2545,6;2365,3;NA
Netherlands;1577,5;2044,3;2190;2263,3;2339,1;2318;2370,4;2468,5;2577,3;2653,4;2718,5;2763,4;2829;2823,3
Norway;NA;2543,3;2721,1;2776,5;2824,4;2870,3;2868,4;2940,2;2952,7;2955,7;2962,8;3058,8;3089,6;3086,8
Portugal;NA;1745,5;1783,3;1837;1945,5;1990,4;1953,8;1979,7;2040,4;2087,8;2102,8;1994,7;1878,4;1819
Spain;NA;1682,6;1705,5;1767,6;1736,6;1846,9;1899,5;1949,4;2065,3;2117,9;2112,6;2105,7;2051,3;1978,4
Sweden;NA;2153,4;2281,8;2384,9;2448,2;2475,6;2542,5;2570;2617,1;2633,3;2632,3;2682,2;2708,3;2763,2
Switzerland;2536,8;2723,4;2808,7;2870,3;2911,7;2961,4;2922;2947,7;3024,8;3099;3201,7;3262,4;3398,3;3469,7
